id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link    ,wikipedia_link,keywords,score,last_updated,landing
35198,PK-KCF,small_airport,Kadanwari Airport,27.16670036,69.3167038,248,AS,PK,PK-SD,Kadanwari,0,OPKW,KCF,OP36,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2014-12-18T02:25:53+00:00,no
41641,PK-0008,small_airport,Mari Indus East,32.91999817,71.69000244,310,AS,PK,PK-PB,Kalabagh,0,OPKW,KCF,OP37,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:29+00:00,no
41619,OPKL,small_airport,Kalat Airport,29.13333321,66.51667023,6100,AS,PK,PK-BA,Kalat,0,OPKL,KBH,OP38,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:47:53+00:00,yes
5482,OP33,small_airport,Kandhkot Airport,28.27400017,69.27600098,250,AS,PK,PK-SD,Kandhkot,0,OP33,KBH,OP33,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:11+00:00,no
5278,OPSF,medium_airport,Faisal Air Base,24.87420082,67.11849976,29,AS,PK,PK-SD,Karachi,0,OPSF,KBH,OP34,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2009-02-20T09:49:08+00:00,yes
41618,OPKK,small_airport,Korangi Creek Airport,24.78429985,67.13899994,3,AS,PK,PK-SD,Karachi,0,OPKK,KBH,OP35,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:47:52+00:00,no
5480,OP31,small_airport,Kashmor Airport,28.47060013,69.59909821,260,AS,PK,PK-SD,Kashmor,0,OP31,KBH,OP31,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:07+00:00,yes
5481,OP32,small_airport,Khairpur Airport,28.03610039,69.67489624,300,AS,PK,PK-SD,Khairpur,0,OP32,KBH,OP32,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:09+00:00,no
41611,OPBL,small_airport,Bela Airport,29.49220085,71.11840057,347,AS,PK,PK-PB,Khan Bela,0,OPBL,KBH,OP33,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:47:26+00:00,yes
5464,OP15,small_airport,Ouzkani Airport,30.25289917,70.21289825,2331,AS,PK,PK-PB,Khandor,0,OP15,KBH,OP15,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:58+00:00,no
5256,OPKN,small_airport,Kharan Airport,28.59720039,65.42250061,2408,AS,PK,PK-BA,Kharan,0,OPKN,KBH,OP16,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:47:55+00:00,yes
41639,PK-0006,small_airport,Kharan East Airport,28.61989975,65.46649933,2408,AS,PK,PK-BA,Kharan,0,OPKN,KBH,OP17,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:27+00:00,no
5477,OP26,small_airport,Khewra Airport,32.6291008,73.02259827,767,AS,PK,PK-PB,Khewra,0,OP26,KBH,OP26,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:03+00:00,yes
5465,OP16,small_airport,Khorewah Airport,24.78720093,68.55719757,16,AS,PK,PK-SD,Khorewah,0,OP16,KBH,OP16,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:59+00:00,yes
32100,OPKT,small_airport,Kohat Airport,33.56999969,71.44000244,1650,AS,PK,PK-NW,Kohat,0,OPKT,OHT,OP17,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2011-10-09T13:49:49+00:00,yes
5467,OP18,small_airport,Kot Addu Airport,30.49489975,70.97109985,423,AS,PK,PK-PB,Kot  Addu,0,OP18,OHT,OP18,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:01+00:00,yes
5468,OP19,small_airport,Chashma Airport,32.42449951,71.45850372,645,AS,PK,PK-PB,Kundian,0,OP19,OHT,OP19,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2011-10-09T09:54:57+00:00,yes
5462,OP13,small_airport,Mad Jamu Airport,28.35619926,70.60019684,256,AS,PK,PK-PB,Mad Jamu Kholelan,0,OP13,OHT,OP13,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:58+00:00,yes
